Layer Values,Parameter Name,Shape
-0.36166853,fc1.weight,1x34
0.33359316,fc1.weight,1x34
-1.068412,fc1.weight,1x34
-0.111164875,fc1.weight,1x34
-0.037395857,fc1.weight,1x34
0.68819875,fc1.weight,1x34
-0.20618227,fc1.weight,1x34
0.21945497,fc1.weight,1x34
-0.05845011,fc1.weight,1x34
0.062981255,fc1.weight,1x34
0.3289699,fc1.weight,1x34
0.22449605,fc1.weight,1x34
0.2008628,fc1.weight,1x34
-0.37324536,fc1.weight,1x34
0.33065593,fc1.weight,1x34
0.2310384,fc1.weight,1x34
0.1102067,fc1.weight,1x34
-0.056136515,fc1.weight,1x34
1.335682,fc1.weight,1x34
-0.41765928,fc1.weight,1x34
0.14119329,fc1.weight,1x34
-0.37794772,fc1.weight,1x34
0.0056034033,fc1.weight,1x34
-0.18066993,fc1.weight,1x34
-0.0721842,fc1.weight,1x34
-0.33372122,fc1.weight,1x34
-0.1636837,fc1.weight,1x34
0.04715137,fc1.weight,1x34
-0.037457407,fc1.weight,1x34
-0.101072595,fc1.weight,1x34
0.010676783,fc1.weight,1x34
-0.01614571,fc1.weight,1x34
-0.094629996,fc1.weight,1x34
0.10462177,fc1.weight,1x34
-0.3411883,fc1.bias,1
