Layer Values,Parameter Name,Shape
-0.006760586,encoder_soil.fc1.weight,30x34
-0.013182956,encoder_soil.fc1.weight,30x34
-0.12300101,encoder_soil.fc1.weight,30x34
0.18257521,encoder_soil.fc1.weight,30x34
0.05279186,encoder_soil.fc1.weight,30x34
0.059231758,encoder_soil.fc1.weight,30x34
0.09325948,encoder_soil.fc1.weight,30x34
0.29098043,encoder_soil.fc1.weight,30x34
0.25124002,encoder_soil.fc1.weight,30x34
-0.095721796,encoder_soil.fc1.weight,30x34
0.15060118,encoder_soil.fc1.weight,30x34
-0.10963852,encoder_soil.fc1.weight,30x34
0.0069313883,encoder_soil.fc1.weight,30x34
0.09797435,encoder_soil.fc1.weight,30x34
0.09173587,encoder_soil.fc1.weight,30x34
-0.09456897,encoder_soil.fc1.weight,30x34
0.03014825,encoder_soil.fc1.weight,30x34
0.12162373,encoder_soil.fc1.weight,30x34
0.025703883,encoder_soil.fc1.weight,30x34
0.14809021,encoder_soil.fc1.weight,30x34
-0.08608024,encoder_soil.fc1.weight,30x34
0.13381419,encoder_soil.fc1.weight,30x34
0.06533552,encoder_soil.fc1.weight,30x34
0.038488477,encoder_soil.fc1.weight,30x34
0.047527846,encoder_soil.fc1.weight,30x34
-0.010670535,encoder_soil.fc1.weight,30x34
-0.012385569,encoder_soil.fc1.weight,30x34
0.106836066,encoder_soil.fc1.weight,30x34
0.018103868,encoder_soil.fc1.weight,30x34
-0.15466484,encoder_soil.fc1.weight,30x34
0.2092888,encoder_soil.fc1.weight,30x34
-0.042949554,encoder_soil.fc1.weight,30x34
0.5867406,encoder_soil.fc1.weight,30x34
0.42236555,encoder_soil.fc1.weight,30x34
0.0063349395,encoder_soil.fc1.weight,30x34
0.20650053,encoder_soil.fc1.weight,30x34
-0.09252357,encoder_soil.fc1.weight,30x34
0.07469881,encoder_soil.fc1.weight,30x34
-0.041928586,encoder_soil.fc1.weight,30x34
-0.12128671,encoder_soil.fc1.weight,30x34
0.07272272,encoder_soil.fc1.weight,30x34
-0.19591926,encoder_soil.fc1.weight,30x34
0.1320961,encoder_soil.fc1.weight,30x34
0.20699497,encoder_soil.fc1.weight,30x34
0.1396637,encoder_soil.fc1.weight,30x34
0.18109602,encoder_soil.fc1.weight,30x34
0.19771306,encoder_soil.fc1.weight,30x34
0.05775368,encoder_soil.fc1.weight,30x34
-0.011803228,encoder_soil.fc1.weight,30x34
-0.12948607,encoder_soil.fc1.weight,30x34
-0.24429215,encoder_soil.fc1.weight,30x34
0.11028019,encoder_soil.fc1.weight,30x34
-0.21739545,encoder_soil.fc1.weight,30x34
-0.07001556,encoder_soil.fc1.weight,30x34
0.009137715,encoder_soil.fc1.weight,30x34
-0.16610684,encoder_soil.fc1.weight,30x34
0.008998714,encoder_soil.fc1.weight,30x34
0.028673839,encoder_soil.fc1.weight,30x34
-0.029810013,encoder_soil.fc1.weight,30x34
-0.20602609,encoder_soil.fc1.weight,30x34
-0.011834184,encoder_soil.fc1.weight,30x34
-0.17162484,encoder_soil.fc1.weight,30x34
0.09783774,encoder_soil.fc1.weight,30x34
0.001883123,encoder_soil.fc1.weight,30x34
-0.061041776,encoder_soil.fc1.weight,30x34
-0.27555493,encoder_soil.fc1.weight,30x34
0.2243444,encoder_soil.fc1.weight,30x34
0.010605537,encoder_soil.fc1.weight,30x34
-0.092895605,encoder_soil.fc1.weight,30x34
-0.12342367,encoder_soil.fc1.weight,30x34
0.03132873,encoder_soil.fc1.weight,30x34
0.066030376,encoder_soil.fc1.weight,30x34
0.25991723,encoder_soil.fc1.weight,30x34
-0.06741867,encoder_soil.fc1.weight,30x34
-0.4480473,encoder_soil.fc1.weight,30x34
-0.5186855,encoder_soil.fc1.weight,30x34
-0.04428057,encoder_soil.fc1.weight,30x34
0.076357,encoder_soil.fc1.weight,30x34
0.12356327,encoder_soil.fc1.weight,30x34
0.06001725,encoder_soil.fc1.weight,30x34
-0.13025112,encoder_soil.fc1.weight,30x34
0.11836032,encoder_soil.fc1.weight,30x34
0.08644999,encoder_soil.fc1.weight,30x34
-0.057195444,encoder_soil.fc1.weight,30x34
0.09664409,encoder_soil.fc1.weight,30x34
0.013276296,encoder_soil.fc1.weight,30x34
-0.07711668,encoder_soil.fc1.weight,30x34
-0.008751467,encoder_soil.fc1.weight,30x34
-0.02686448,encoder_soil.fc1.weight,30x34
0.005153419,encoder_soil.fc1.weight,30x34
0.03187074,encoder_soil.fc1.weight,30x34
-0.06799098,encoder_soil.fc1.weight,30x34
0.11840757,encoder_soil.fc1.weight,30x34
0.15687539,encoder_soil.fc1.weight,30x34
0.10011253,encoder_soil.fc1.weight,30x34
-0.10597262,encoder_soil.fc1.weight,30x34
0.008136899,encoder_soil.fc1.weight,30x34
0.14844562,encoder_soil.fc1.weight,30x34
0.0044519124,encoder_soil.fc1.weight,30x34
-0.029250434,encoder_soil.fc1.weight,30x34
-0.25970212,encoder_soil.fc1.weight,30x34
0.040626723,encoder_soil.fc1.weight,30x34
0.3536347,encoder_soil.fc1.weight,30x34
-0.14881313,encoder_soil.fc1.weight,30x34
-0.49389938,encoder_soil.fc1.weight,30x34
-0.32288492,encoder_soil.fc1.weight,30x34
-0.62791437,encoder_soil.fc1.weight,30x34
-0.046101116,encoder_soil.fc1.weight,30x34
0.022256296,encoder_soil.fc1.weight,30x34
0.041479174,encoder_soil.fc1.weight,30x34
0.06453597,encoder_soil.fc1.weight,30x34
0.08668086,encoder_soil.fc1.weight,30x34
0.02100668,encoder_soil.fc1.weight,30x34
0.011100148,encoder_soil.fc1.weight,30x34
-0.089748405,encoder_soil.fc1.weight,30x34
-0.02955705,encoder_soil.fc1.weight,30x34
-0.045857564,encoder_soil.fc1.weight,30x34
-0.018774226,encoder_soil.fc1.weight,30x34
-0.024731161,encoder_soil.fc1.weight,30x34
-0.0020051692,encoder_soil.fc1.weight,30x34
0.03227883,encoder_soil.fc1.weight,30x34
-0.050260525,encoder_soil.fc1.weight,30x34
-0.013823489,encoder_soil.fc1.weight,30x34
-0.081974946,encoder_soil.fc1.weight,30x34
-0.004759029,encoder_soil.fc1.weight,30x34
0.044427264,encoder_soil.fc1.weight,30x34
0.0071896045,encoder_soil.fc1.weight,30x34
0.12614822,encoder_soil.fc1.weight,30x34
-0.048920773,encoder_soil.fc1.weight,30x34
0.0058758697,encoder_soil.fc1.weight,30x34
0.040198397,encoder_soil.fc1.weight,30x34
-0.02919564,encoder_soil.fc1.weight,30x34
0.00834245,encoder_soil.fc1.weight,30x34
-0.05115383,encoder_soil.fc1.weight,30x34
0.07947216,encoder_soil.fc1.weight,30x34
-0.14873338,encoder_soil.fc1.weight,30x34
-0.10488446,encoder_soil.fc1.weight,30x34
0.031150548,encoder_soil.fc1.weight,30x34
