Layer Values,Parameter Name,Shape
-0.21367756,encoder_soil.fc1.weight,30x34
0.034940798,encoder_soil.fc1.weight,30x34
0.07833774,encoder_soil.fc1.weight,30x34
0.10493448,encoder_soil.fc1.weight,30x34
0.035845477,encoder_soil.fc1.weight,30x34
-0.0043348763,encoder_soil.fc1.weight,30x34
-0.1381185,encoder_soil.fc1.weight,30x34
0.010536849,encoder_soil.fc1.weight,30x34
0.03210821,encoder_soil.fc1.weight,30x34
0.031434163,encoder_soil.fc1.weight,30x34
-0.0354695,encoder_soil.fc1.weight,30x34
0.08486208,encoder_soil.fc1.weight,30x34
-0.042051516,encoder_soil.fc1.weight,30x34
0.035020072,encoder_soil.fc1.weight,30x34
-0.085918695,encoder_soil.fc1.weight,30x34
0.05611815,encoder_soil.fc1.weight,30x34
0.05445773,encoder_soil.fc1.weight,30x34
0.1506016,encoder_soil.fc1.weight,30x34
0.13466321,encoder_soil.fc1.weight,30x34
0.24748647,encoder_soil.fc1.weight,30x34
0.11361793,encoder_soil.fc1.weight,30x34
0.15409027,encoder_soil.fc1.weight,30x34
-0.043123987,encoder_soil.fc1.weight,30x34
-0.07669458,encoder_soil.fc1.weight,30x34
-0.061258573,encoder_soil.fc1.weight,30x34
0.33982387,encoder_soil.fc1.weight,30x34
-0.3282988,encoder_soil.fc1.weight,30x34
0.107806034,encoder_soil.fc1.weight,30x34
-0.15482959,encoder_soil.fc1.weight,30x34
0.20074557,encoder_soil.fc1.weight,30x34
0.20639306,encoder_soil.fc1.weight,30x34
0.08530873,encoder_soil.fc1.weight,30x34
0.015466372,encoder_soil.fc1.weight,30x34
0.35405403,encoder_soil.fc1.weight,30x34
-0.20781896,encoder_soil.fc1.weight,30x34
0.058629017,encoder_soil.fc1.weight,30x34
0.03525348,encoder_soil.fc1.weight,30x34
-0.2503919,encoder_soil.fc1.weight,30x34
0.066349514,encoder_soil.fc1.weight,30x34
0.017113514,encoder_soil.fc1.weight,30x34
-0.14071131,encoder_soil.fc1.weight,30x34
-0.043015134,encoder_soil.fc1.weight,30x34
0.054942824,encoder_soil.fc1.weight,30x34
0.022137582,encoder_soil.fc1.weight,30x34
-0.025908528,encoder_soil.fc1.weight,30x34
-0.0031407226,encoder_soil.fc1.weight,30x34
-0.012227125,encoder_soil.fc1.weight,30x34
0.077958986,encoder_soil.fc1.weight,30x34
0.2729723,encoder_soil.fc1.weight,30x34
0.36059788,encoder_soil.fc1.weight,30x34
-0.09840738,encoder_soil.fc1.weight,30x34
0.024727954,encoder_soil.fc1.weight,30x34
0.0068611563,encoder_soil.fc1.weight,30x34
-0.016986499,encoder_soil.fc1.weight,30x34
-0.085346445,encoder_soil.fc1.weight,30x34
0.08960713,encoder_soil.fc1.weight,30x34
-0.047777183,encoder_soil.fc1.weight,30x34
-0.040226974,encoder_soil.fc1.weight,30x34
-0.073153935,encoder_soil.fc1.weight,30x34
0.010561594,encoder_soil.fc1.weight,30x34
0.043683298,encoder_soil.fc1.weight,30x34
-0.06390803,encoder_soil.fc1.weight,30x34
-0.026466725,encoder_soil.fc1.weight,30x34
-0.041397173,encoder_soil.fc1.weight,30x34
0.038128395,encoder_soil.fc1.weight,30x34
-0.16023226,encoder_soil.fc1.weight,30x34
-0.06218639,encoder_soil.fc1.weight,30x34
-0.040982053,encoder_soil.fc1.weight,30x34
-0.1530999,encoder_soil.fc1.weight,30x34
-0.016090428,encoder_soil.fc1.weight,30x34
-0.027607108,encoder_soil.fc1.weight,30x34
-0.10245717,encoder_soil.fc1.weight,30x34
-0.12783429,encoder_soil.fc1.weight,30x34
0.64094085,encoder_soil.fc1.weight,30x34
0.47950062,encoder_soil.fc1.weight,30x34
0.13368061,encoder_soil.fc1.weight,30x34
-0.0009467736,encoder_soil.fc1.weight,30x34
-0.05107373,encoder_soil.fc1.weight,30x34
-0.16455984,encoder_soil.fc1.weight,30x34
0.0048342203,encoder_soil.fc1.weight,30x34
-0.10322955,encoder_soil.fc1.weight,30x34
0.23370402,encoder_soil.fc1.weight,30x34
-0.022145018,encoder_soil.fc1.weight,30x34
-0.11270895,encoder_soil.fc1.weight,30x34
-0.063195534,encoder_soil.fc1.weight,30x34
0.10225106,encoder_soil.fc1.weight,30x34
-0.043670435,encoder_soil.fc1.weight,30x34
-0.1113275,encoder_soil.fc1.weight,30x34
-0.078107394,encoder_soil.fc1.weight,30x34
0.020742977,encoder_soil.fc1.weight,30x34
-0.056658097,encoder_soil.fc1.weight,30x34
-0.16661966,encoder_soil.fc1.weight,30x34
0.09602819,encoder_soil.fc1.weight,30x34
-0.08712104,encoder_soil.fc1.weight,30x34
0.028349303,encoder_soil.fc1.weight,30x34
0.029689368,encoder_soil.fc1.weight,30x34
0.32022133,encoder_soil.fc1.weight,30x34
0.07072048,encoder_soil.fc1.weight,30x34
0.29606757,encoder_soil.fc1.weight,30x34
-0.027681287,encoder_soil.fc1.weight,30x34
-0.2692959,encoder_soil.fc1.weight,30x34
-0.0103612095,encoder_soil.fc1.weight,30x34
0.014359371,encoder_soil.fc1.weight,30x34
0.10989693,encoder_soil.fc1.weight,30x34
0.19061281,encoder_soil.fc1.weight,30x34
0.058282398,encoder_soil.fc1.weight,30x34
0.054328408,encoder_soil.fc1.weight,30x34
-0.061933264,encoder_soil.fc1.weight,30x34
-0.09907273,encoder_soil.fc1.weight,30x34
-0.3987681,encoder_soil.fc1.weight,30x34
-0.060913116,encoder_soil.fc1.weight,30x34
-1.2114902,encoder_soil.fc1.weight,30x34
0.34646806,encoder_soil.fc1.weight,30x34
0.2952505,encoder_soil.fc1.weight,30x34
0.055927973,encoder_soil.fc1.weight,30x34
-0.0147874,encoder_soil.fc1.weight,30x34
0.02988245,encoder_soil.fc1.weight,30x34
0.008776561,encoder_soil.fc1.weight,30x34
0.09284629,encoder_soil.fc1.weight,30x34
-0.015806226,encoder_soil.fc1.weight,30x34
0.10123546,encoder_soil.fc1.weight,30x34
-0.10402711,encoder_soil.fc1.weight,30x34
-0.01303548,encoder_soil.fc1.weight,30x34
-0.02460917,encoder_soil.fc1.weight,30x34
-0.07745185,encoder_soil.fc1.weight,30x34
-0.034048267,encoder_soil.fc1.weight,30x34
0.03349689,encoder_soil.fc1.weight,30x34
0.04169002,encoder_soil.fc1.weight,30x34
-0.027885575,encoder_soil.fc1.weight,30x34
-0.01597576,encoder_soil.fc1.weight,30x34
-0.039099455,encoder_soil.fc1.weight,30x34
-0.07055653,encoder_soil.fc1.weight,30x34
-0.01850474,encoder_soil.fc1.weight,30x34
0.009417654,encoder_soil.fc1.weight,30x34
0.039476708,encoder_soil.fc1.weight,30x34
-0.048051827,encoder_soil.fc1.weight,30x34
0.02552449,encoder_soil.fc1.weight,30x34
0.007371108,encoder_soil.fc1.weight,30x34
-0.0025748746,encoder_soil.fc1.weight,30x34
-0.016421372,encoder_soil.fc1.weight,30x34
-0.026094783,encoder_soil.fc1.weight,30x34
0.12392796,encoder_soil.fc1.weight,30x34
-0.10280007,encoder_soil.fc1.weight,30x34
0.5436445,encoder_soil.fc1.weight,30x34
0.15175885,encoder_soil.fc1.weight,30x34
0.33091652,encoder_soil.fc1.weight,30x34
-0.23023899,encoder_soil.fc1.weight,30x34
-0.20159468,encoder_soil.fc1.weight,30x34
0.10173589,encoder_soil.fc1.weight,30x34
