Layer Values,Parameter Name,Shape
0.08244645,fc1.weight,1x34
-0.24795559,fc1.weight,1x34
0.35127518,fc1.weight,1x34
0.95499074,fc1.weight,1x34
-1.1550664,fc1.weight,1x34
0.48554996,fc1.weight,1x34
0.18983765,fc1.weight,1x34
0.5468537,fc1.weight,1x34
0.0454221,fc1.weight,1x34
0.28916326,fc1.weight,1x34
0.3992066,fc1.weight,1x34
-0.9783965,fc1.weight,1x34
0.097134024,fc1.weight,1x34
0.38020366,fc1.weight,1x34
-0.5619909,fc1.weight,1x34
0.16265073,fc1.weight,1x34
0.28638452,fc1.weight,1x34
-0.50314635,fc1.weight,1x34
-0.15167038,fc1.weight,1x34
0.09616036,fc1.weight,1x34
-1.2243925,fc1.weight,1x34
0.031392902,fc1.weight,1x34
0.07034695,fc1.weight,1x34
-0.060455494,fc1.weight,1x34
0.17763926,fc1.weight,1x34
0.31178415,fc1.weight,1x34
-0.11842826,fc1.weight,1x34
0.048545502,fc1.weight,1x34
-0.021305038,fc1.weight,1x34
-0.07486282,fc1.weight,1x34
0.026250407,fc1.weight,1x34
0.018023891,fc1.weight,1x34
-0.05931248,fc1.weight,1x34
0.10826987,fc1.weight,1x34
-0.07806743,fc1.bias,1
