Layer Values,Parameter Name,Shape
0.041541737,encoder_soil.fc1.weight,30x42
0.17366111,encoder_soil.fc1.weight,30x42
0.08916667,encoder_soil.fc1.weight,30x42
0.11126754,encoder_soil.fc1.weight,30x42
0.06645459,encoder_soil.fc1.weight,30x42
0.08982659,encoder_soil.fc1.weight,30x42
0.06735013,encoder_soil.fc1.weight,30x42
0.13635316,encoder_soil.fc1.weight,30x42
0.0374436,encoder_soil.fc1.weight,30x42
-0.15578544,encoder_soil.fc1.weight,30x42
0.13947591,encoder_soil.fc1.weight,30x42
-0.12719299,encoder_soil.fc1.weight,30x42
0.0675332,encoder_soil.fc1.weight,30x42
-0.06348526,encoder_soil.fc1.weight,30x42
0.041861523,encoder_soil.fc1.weight,30x42
-0.12548444,encoder_soil.fc1.weight,30x42
0.05580617,encoder_soil.fc1.weight,30x42
0.035451885,encoder_soil.fc1.weight,30x42
-0.0015646402,encoder_soil.fc1.weight,30x42
0.060890716,encoder_soil.fc1.weight,30x42
-0.109045915,encoder_soil.fc1.weight,30x42
0.06823576,encoder_soil.fc1.weight,30x42
-0.06719843,encoder_soil.fc1.weight,30x42
0.36439267,encoder_soil.fc1.weight,30x42
-0.12624912,encoder_soil.fc1.weight,30x42
0.104478225,encoder_soil.fc1.weight,30x42
-0.18639438,encoder_soil.fc1.weight,30x42
-0.25886288,encoder_soil.fc1.weight,30x42
0.012300257,encoder_soil.fc1.weight,30x42
-0.21647151,encoder_soil.fc1.weight,30x42
0.25938892,encoder_soil.fc1.weight,30x42
0.10085219,encoder_soil.fc1.weight,30x42
-0.08927038,encoder_soil.fc1.weight,30x42
0.22840533,encoder_soil.fc1.weight,30x42
0.31993914,encoder_soil.fc1.weight,30x42
-0.08275926,encoder_soil.fc1.weight,30x42
0.05846867,encoder_soil.fc1.weight,30x42
0.13635407,encoder_soil.fc1.weight,30x42
0.051629543,encoder_soil.fc1.weight,30x42
-0.15775025,encoder_soil.fc1.weight,30x42
-0.03768532,encoder_soil.fc1.weight,30x42
-0.018999506,encoder_soil.fc1.weight,30x42
0.27866638,encoder_soil.fc1.weight,30x42
0.015501052,encoder_soil.fc1.weight,30x42
0.10308345,encoder_soil.fc1.weight,30x42
0.15548252,encoder_soil.fc1.weight,30x42
0.14528903,encoder_soil.fc1.weight,30x42
0.21989444,encoder_soil.fc1.weight,30x42
0.20637684,encoder_soil.fc1.weight,30x42
0.04493019,encoder_soil.fc1.weight,30x42
-0.25109655,encoder_soil.fc1.weight,30x42
-0.018477172,encoder_soil.fc1.weight,30x42
-0.30519685,encoder_soil.fc1.weight,30x42
-0.08034908,encoder_soil.fc1.weight,30x42
-0.111354075,encoder_soil.fc1.weight,30x42
0.15898155,encoder_soil.fc1.weight,30x42
0.0352897,encoder_soil.fc1.weight,30x42
0.01106233,encoder_soil.fc1.weight,30x42
0.016724065,encoder_soil.fc1.weight,30x42
-0.06507051,encoder_soil.fc1.weight,30x42
0.052995242,encoder_soil.fc1.weight,30x42
0.011470063,encoder_soil.fc1.weight,30x42
0.17437229,encoder_soil.fc1.weight,30x42
-0.04504627,encoder_soil.fc1.weight,30x42
